listing_id,prague_district,cadastral_area,city_part,area_m2,base_rent,rent_price_quality,listing_since,furnished,layout_normalized,possible_duplicate,possible_short_term_rental,possible_serviced_apartment,possible_room_rental,possible_luxury_outlier,suspicious_price,suspicious_area,rent_may_include_charges,reserved_or_sold
913484,Praha 5,Smíchov,Praha 5,202,90000.0,A,2026-06-19,Ne,5+kk,False,False,False,False,False,False,False,False,False
1560652,Praha 2,Vinohrady,Praha 2,38,27000.0,B,2026-08-06,Částečně,1+kk,False,False,False,False,True,False,False,False,False
1786700,Praha 3,Vinohrady,Praha 3,137,104800.0,B,2026-03-18,Ano,4+kk,False,False,False,False,False,False,False,False,False
2342988,Praha 1,Malá Strana,Praha 1,150,60000.0,B,2026-08-21,Částečně,3+kk,False,False,False,False,False,False,False,False,False
4497484,Praha 3,Vinohrady,Praha 3,150,75000.0,B,2026-05-07,,4+kk,False,False,False,False,False,False,False,False,False
5423180,unresolved,,,34,18900.0,A,2026-08-23,Částečně,1+kk,False,False,False,False,False,False,False,False,False
6717516,Praha 3,Žižkov,Praha 3,71,,C,2026-06-09,Ano,2+kk,False,False,False,False,False,False,False,False,False
7193420,Praha 1,Staré Město,Praha 1,69,51000.0,B,2025-10-13,Ano,2+kk,False,False,False,False,False,False,False,False,False
7716940,Praha 10,Vršovice,Praha 10,28,12990.0,A,2026-08-28,Ne,1+kk,False,False,False,False,False,False,False,False,False
11649100,Praha 5,Košíře,Praha 5,90,25490.0,A,2026-08-25,Ne,3+1,True,False,False,True,False,False,False,False,False
11780172,Praha 7,Holešovice,Praha 7,37,22000.0,B,2026-08-22,Ano,1+kk,False,False,False,False,False,False,False,False,False
12632140,Praha 2,Vinohrady,Praha 2,56,,C,2026-08-25,Ano,2+kk,False,False,False,False,False,False,False,False,False
13390668,Praha 1,Malá Strana,Praha 1,73,39000.0,A,2026-03-09,,2+1,True,False,False,False,False,False,False,False,False
13946956,Praha 10,,,60,,C,2026-08-11,Částečně,2+kk,False,False,False,False,False,False,False,False,False
15122508,Praha 10,Strašnice,Praha 10,55,21000.0,A,2026-08-27,Částečně,2+kk,False,False,False,False,False,False,False,False,False
15712332,Praha 2,,,64,,C,2026-08-17,,1+kk,False,False,False,False,False,False,False,False,False
17293388,Praha 6,Bubeneč,Praha 6,102,,C,2026-07-17,Ano,2+kk,False,False,False,False,False,False,False,False,False
17420364,Praha 9,Libeň,Praha 9,74,31990.0,A,2026-07-24,Ano,3+kk,False,False,False,False,False,False,False,False,False
19714124,Praha 4,Praha 4,Praha 4,87,,C,2026-07-31,Ne,4+kk,False,True,False,True,False,False,False,False,False
19985228,Praha 1,Josefov,Praha 1,184,119000.0,A,2025-08-25,Ano,5+1,False,False,False,False,False,False,False,False,False
20009804,Praha 5,Smíchov,Praha 5,66,,D,2026-03-11,Ano,2+kk,False,False,False,False,False,True,False,False,False
21286988,Praha 9,Hrdlořezy,Praha 9,57,,C,2026-08-10,Ne,2+kk,False,True,False,True,False,False,False,False,False
22855756,Praha 4,Nusle,Praha 4,42,,C,2026-08-20,,1+1,False,False,False,False,False,False,False,False,False
23183436,Praha 10,,,52,,C,2026-08-24,,2+kk,False,False,False,False,False,False,False,False,False
23511116,Praha 10,Záběhlice,Praha 10,40,17000.0,B,2026-08-27,Ano,1+kk,False,False,False,False,False,False,False,False,False
25542732,Praha 7,Holešovice,Praha 7,37,,C,2026-08-30,,1+kk,False,False,False,False,False,False,False,False,False
26329164,Praha 9,Vysočany,Praha 9,49,,C,2026-08-25,Ano,1+kk,False,False,False,False,False,False,False,False,False
29478988,Praha 4,Písnice,Praha-Libuš,55,,C,2026-08-04,Částečně,2+kk,False,False,False,False,False,False,False,False,False
29945932,Praha 8,Libeň,Praha 8,51,,C,2026-06-16,,2+kk,False,False,False,False,True,False,False,False,False
31236172,Praha 10,Vršovice,Praha 10,37,16970.0,B,2026-04-29,Ne,1+kk,False,False,False,False,False,False,False,False,False
31580236,Praha 2,Nové Město,Praha 2,81,,C,2026-07-15,,3+kk,False,False,False,False,False,False,False,False,False
34504780,Praha 8,Karlín,Praha 8,59,36000.0,A,2026-06-01,Ano,2+kk,False,False,False,False,False,False,False,False,False
34721868,Praha 6,Břevnov,Praha 6,56,,C,2026-08-04,,2+kk,False,False,False,False,False,False,False,False,False
38912076,Praha 2,Vinohrady,Praha 2,107,57960.0,B,2026-08-24,Ano,3+kk,False,False,False,False,False,False,False,False,False
42393676,Praha 7,Holešovice,Praha 7,62,30000.0,B,2026-07-20,,2+kk,False,False,False,False,False,False,False,False,False
42827852,Praha 5,Košíře,Praha 5,88,62000.0,A,2026-06-02,Ano,3+kk,False,False,False,False,False,False,False,False,False
