district,layout,area_m2,base_rent,furnished,age_days
praha5,2+kk,70,28000.0,Ne,0
praha5,2+kk,48,25000.0,Částečně,0
praha4,2+1,70,23000.0,Ne,0
praha5,1+kk,34,20500.0,,0
praha9,2+kk,55,20000.0,Částečně,0
praha2,3+kk,91,29000.0,Ne,0
praha9,2+1,49,19200.0,,0
praha10,1+kk,29,14000.0,Ano,0
praha10,2+kk,40,21500.0,Částečně,0
praha5,3+kk,78,31000.0,Ano,0
praha5,3+kk,126,27000.0,,0
praha10,2+1,54,22000.0,,0
praha5,1+kk,32,14500.0,Ne,0
praha5,2+kk,50,24500.0,Ne,0
praha9,2+kk,48,23000.0,Ano,0
praha3,2+kk,51,24990.0,Ano,0
praha9,2+kk,52,24900.0,,0
praha5,1+kk,40,18990.0,Částečně,0
praha2,1+kk,41,22000.0,Částečně,0
praha2,1+1,45,20000.0,,1
praha10,2+1,70,30000.0,Ano,1
praha5,2+kk,63,20000.0,Ne,1
praha10,2+1,52,19000.0,,1
praha5,2+kk,48,22000.0,,1
praha6,3+1,75,26000.0,Částečně,1
praha5,1+kk,33,18900.0,,1
praha9,2+kk,43,22000.0,Ano,1
praha10,2+kk,48,21900.0,Částečně,1
praha4,1+kk,32,20000.0,Ne,1
praha10,2+kk,60,23900.0,,1
praha8,2+kk,74,26000.0,,1
praha8,2+kk,53,28500.0,Ano,1
praha5,1+kk,45,17500.0,Ne,1
praha6,1+kk,34,14600.0,,1
praha6,4+kk,106,40000.0,Ne,1
praha4,3+kk,86,35000.0,Ne,1
praha5,2+kk,38,20000.0,Ano,1
praha5,4+1,110,38000.0,,1
praha9,1+kk,33,17000.0,,1
praha5,1+kk,42,17500.0,Ano,1
praha4,2+kk,41,19000.0,,1
praha10,3+kk,64,23500.0,,1
praha3,3+kk,72,27000.0,Částečně,1
praha5,3+kk,75,27000.0,Ne,1
praha9,1+kk,25,15000.0,,1
praha10,2+1,64,25990.0,,1
praha5,2+kk,58,29500.0,,1
praha10,2+kk,49,25000.0,Ano,1
praha6,2+kk,42,23900.0,Částečně,2
praha10,1+kk,38,16000.0,Částečně,2
praha4,4+kk,111,59500.0,Ne,2
praha3,1+kk,45,7100.0,,2
praha8,3+kk,89,47000.0,,2
praha9,4+kk,82,31500.0,,2
praha5,3+kk,72,36000.0,Ano,2
praha4,1+kk,25,17000.0,,2
praha8,2+kk,51,25000.0,Částečně,2
praha5,3+1,74,22000.0,Částečně,2
praha6,2+1,72,25000.0,,2
praha3,1+1,48,21990.0,Částečně,2
praha9,1+1,33,13990.0,Částečně,2
praha6,2+1,50,21490.0,Částečně,2
praha4,3+1,90,35500.0,Ano,2
praha8,2+kk,66,42000.0,Částečně,2
praha5,2+kk,36,16990.0,Částečně,2
praha9,2+kk,57,22000.0,Částečně,2
praha8,1+kk,30,23000.0,Ano,2
praha9,2+kk,47,23700.0,Ano,2
praha5,1+1,47,19990.0,Částečně,2
praha10,3+kk,80,25000.0,Ano,2
praha5,1+kk,29,12000.0,Částečně,2
praha6,5+kk,101,42000.0,Částečně,2
praha8,3+kk,79,46000.0,Ano,2
praha6,2+kk,51,34000.0,Ano,2
praha1,2+kk,33,25400.0,Ano,2
praha5,2+kk,40,29000.0,Ano,2
praha2,2+1,54,38700.0,Ano,2
praha4,2+1,45,18000.0,Ano,2
praha5,1+1,35,20000.0,Ne,2
praha5,3+1,80,24000.0,,2
praha5,2+kk,50,19500.0,Ano,2
praha5,2+1,70,20000.0,Ano,2
praha2,2+1,77,28900.0,,2
praha10,2+kk,52,26000.0,Ano,2
praha6,2+kk,45,19800.0,Částečně,2
praha3,3+1,76,11800.0,Ne,2
praha1,2+kk,110,48000.0,Ano,2
praha9,2+kk,51,27000.0,Částečně,2
praha3,1+1,57,8600.0,Ne,2
praha9,2+kk,63,22500.0,Částečně,2
praha7,2+kk,55,22900.0,Částečně,2
praha5,2+kk,85,31900.0,Ano,2
praha10,2+kk,55,24200.0,,2
praha3,1+1,44,7100.0,Ne,2
